job_category,employee_residence,experience_level,employment_type,work_setting,company_size,salary_in_usd_2023
Machine Learning and AI,United States,Senior,Full-time,In-person,M,194000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,175000.0
Data Analysis,United States,Senior,Full-time,In-person,M,185000.0
Data Analysis,United States,Senior,Full-time,In-person,M,160000.0
Data Engineering,United States,Senior,Full-time,In-person,M,185000.0
Data Engineering,United States,Senior,Full-time,In-person,M,50000.0
Leadership and Management,United States,Executive,Full-time,In-person,M,70000.0
Data Engineering,United States,Entry-level,Full-time,In-person,M,130916.0
Data Engineering,United States,Entry-level,Full-time,In-person,M,120000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,160000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,218213.0
Data Science and Research,United States,Senior,Full-time,Remote,M,178538.0
Data Science and Research,United States,Senior,Full-time,In-person,M,316000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,202000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,189750.0
Data Science and Research,United States,Senior,Full-time,Remote,M,119213.0
Leadership and Management,United States,Senior,Full-time,In-person,M,162000.0
Leadership and Management,United States,Senior,Full-time,In-person,M,130000.0
BI and Visualization,United States,Senior,Full-time,In-person,M,170200.0
BI and Visualization,United States,Senior,Full-time,In-person,M,83900.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,250944.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,205318.0
Data Engineering,United States,Senior,Full-time,In-person,M,125000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,135000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,114000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,218213.0
Data Science and Research,United States,Senior,Full-time,Remote,M,178538.0
Data Science and Research,United States,Senior,Full-time,In-person,M,240000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,163200.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,258800.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,199200.0
Data Science and Research,United States,Senior,Full-time,Remote,M,215625.0
Data Science and Research,United States,Senior,Full-time,Remote,M,159375.0
Data Science and Research,United States,Senior,Full-time,In-person,M,203000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,133000.0
Data Science and Research,United States,Senior,Full-time,In-person,L,272400.0
Data Science and Research,United States,Senior,Full-time,In-person,L,140100.0
Data Engineering,United States,Senior,Full-time,In-person,M,282000.0
Data Engineering,United States,Senior,Full-time,In-person,M,208000.0
Data Analysis,United States,Senior,Full-time,Remote,M,93919.0
Data Analysis,United States,Senior,Full-time,Remote,M,51962.0
Data Science and Research,United States,Senior,Full-time,Remote,M,211000.0
BI and Visualization,United States,Senior,Full-time,Remote,M,118800.0
BI and Visualization,United States,Senior,Full-time,Remote,M,75000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,159350.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,130100.0
Data Science and Research,United States,Senior,Full-time,Remote,M,262000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,245000.0
Leadership and Management,United States,Senior,Full-time,In-person,M,205218.0
Leadership and Management,United States,Senior,Full-time,In-person,M,136743.0
Data Science and Research,United States,Senior,Full-time,In-person,L,185000.0
Data Science and Research,United States,Senior,Full-time,In-person,L,94600.0
Data Science and Research,United States,Senior,Full-time,In-person,M,160000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,107000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,264400.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,176300.0
Data Science and Research,United States,Senior,Full-time,In-person,M,275000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,175000.0
Machine Learning and AI,United States,Entry-level,Full-time,In-person,L,76000.0
Data Analysis,Portugal,Mid-level,Full-time,Remote,M,53984.0
Data Analysis,Portugal,Mid-level,Full-time,Remote,M,43187.0
BI and Visualization,United States,Mid-level,Full-time,In-person,M,150000.0
BI and Visualization,United States,Mid-level,Full-time,In-person,M,125000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,210000.0
Data Engineering,United States,Senior,Full-time,In-person,M,210000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,169500.0
Data Science and Research,United States,Senior,Full-time,Remote,M,138000.0
Machine Learning and AI,United States,Mid-level,Full-time,In-person,M,180000.0
Machine Learning and AI,United States,Mid-level,Full-time,In-person,M,120000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,297300.0
Data Science and Research,United States,Senior,Full-time,Remote,M,198200.0
Data Science and Research,United States,Senior,Full-time,In-person,M,204500.0
Data Science and Research,United States,Senior,Full-time,In-person,M,138900.0
Leadership and Management,United States,Senior,Full-time,In-person,M,110400.0
Leadership and Management,United States,Senior,Full-time,In-person,M,68000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,260600.0
Data Management and Strategy,United States,Entry-level,Full-time,Remote,M,63750.0
Data Management and Strategy,United States,Entry-level,Full-time,Remote,M,46400.0
Data Science and Research,United States,Senior,Full-time,Remote,M,214872.0
Data Science and Research,United States,Senior,Full-time,Remote,M,186846.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,95000.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,70600.0
Data Analysis,United States,Mid-level,Full-time,Remote,M,149500.0
Data Analysis,United States,Mid-level,Full-time,Remote,M,127075.0
Data Engineering,United States,Senior,Full-time,Remote,M,162000.0
Data Engineering,United States,Senior,Full-time,Remote,M,111000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,280000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,182750.0
Data Science and Research,United States,Senior,Full-time,In-person,M,196000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,142600.0
Data Architecture and Modeling,United States,Senior,Full-time,Remote,M,193000.0
Data Architecture and Modeling,United States,Senior,Full-time,Remote,M,110000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,245000.0
Data Analysis,United States,Senior,Full-time,In-person,M,80000.0
Data Analysis,United States,Senior,Full-time,In-person,M,70000.0
Data Engineering,United States,Executive,Full-time,In-person,M,250000.0
Data Engineering,United States,Executive,Full-time,In-person,M,225000.0
Data Analysis,United Kingdom,Mid-level,Full-time,In-person,M,61520.0
Data Analysis,United Kingdom,Mid-level,Full-time,In-person,M,49216.0
Data Engineering,United States,Senior,Full-time,In-person,M,205000.0
Machine Learning and AI,Ukraine,Senior,Full-time,Remote,M,240000.0
Machine Learning and AI,Ukraine,Senior,Full-time,Remote,M,220000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,297300.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,198200.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,156000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,196500.0
Data Science and Research,United States,Senior,Full-time,In-person,M,97300.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,192000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,164000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,227700.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,154836.0
Data Science and Research,United States,Senior,Full-time,Remote,M,140000.0
Machine Learning and AI,United States,Mid-level,Full-time,In-person,L,285000.0
Machine Learning and AI,United States,Mid-level,Full-time,In-person,L,190000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,L,405000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,L,270000.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,214300.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,108500.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,145000.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,115000.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,130000.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,113000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,194500.0
Data Science and Research,United States,Senior,Full-time,In-person,M,110250.0
Data Science and Research,United States,Senior,Full-time,In-person,M,295000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,177300.0
Data Analysis,United Kingdom,Mid-level,Full-time,Remote,M,55368.0
Data Analysis,United Kingdom,Mid-level,Full-time,Remote,M,44294.0
Data Science and Research,United States,Senior,Full-time,Remote,M,192000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,164000.0
Data Engineering,United States,Entry-level,Full-time,In-person,M,220000.0
Data Engineering,United States,Entry-level,Full-time,In-person,M,187000.0
Data Science and Research,United States,Executive,Full-time,In-person,M,353200.0
Data Science and Research,United States,Executive,Full-time,In-person,M,249300.0
Data Analysis,United States,Senior,Full-time,In-person,M,85000.0
Data Analysis,United States,Senior,Full-time,In-person,M,79000.0
Data Engineering,United States,Senior,Full-time,In-person,M,131000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,220000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,163000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,107400.0
Data Science and Research,United States,Senior,Full-time,In-person,M,101500.0
Data Engineering,France,Mid-level,Full-time,Hybrid,M,80976.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,300000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,100000.0
Data Architecture and Modeling,United States,Senior,Full-time,Remote,M,175000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,164000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,211000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,276000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,184000.0
Data Analysis,United States,Mid-level,Full-time,Remote,M,115000.0
Data Analysis,United States,Senior,Full-time,In-person,M,167000.0
Data Engineering,United States,Senior,Full-time,In-person,M,144000.0
Data Engineering,United States,Senior,Full-time,In-person,M,96000.0
Leadership and Management,United States,Senior,Full-time,Remote,M,145000.0
Leadership and Management,United States,Senior,Full-time,Remote,M,116000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,161000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,116300.0
Data Analysis,United States,Senior,Full-time,In-person,M,140000.0
Data Analysis,United States,Senior,Full-time,In-person,M,125000.0
Data Architecture and Modeling,United States,Senior,Full-time,Remote,M,175564.0
Data Architecture and Modeling,United States,Senior,Full-time,Remote,M,144854.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,225000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,166000.0
Leadership and Management,United States,Senior,Full-time,In-person,M,190000.0
Leadership and Management,United States,Senior,Full-time,In-person,M,150000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,151300.0
Data Science and Research,United States,Senior,Full-time,Remote,M,126100.0
Data Science and Research,United States,Senior,Full-time,In-person,M,190000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,152000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,190000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,150000.0
Data Analysis,United States,Executive,Full-time,Remote,M,180000.0
Data Analysis,United States,Executive,Full-time,Remote,M,125000.0
BI and Visualization,United States,Senior,Full-time,In-person,M,113000.0
BI and Visualization,United States,Senior,Full-time,In-person,M,90400.0
BI and Visualization,United States,Senior,Full-time,In-person,M,204300.0
BI and Visualization,United States,Senior,Full-time,In-person,M,139000.0
Data Engineering,United States,Senior,Full-time,In-person,M,124000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,157000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,L,212800.0
Machine Learning and AI,United States,Senior,Full-time,In-person,L,111600.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,183000.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,147000.0
Data Engineering,United States,Senior,Full-time,In-person,M,169000.0
Data Engineering,United States,Senior,Full-time,In-person,M,91000.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,210000.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,160000.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,70900.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,193000.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,128000.0
Data Engineering,Canada,Mid-level,Full-time,In-person,M,275000.0
Data Engineering,Canada,Mid-level,Full-time,In-person,M,243000.0
Data Engineering,United States,Executive,Full-time,In-person,M,174500.0
Data Engineering,United States,Executive,Full-time,In-person,M,113000.0
Data Analysis,United States,Senior,Full-time,Remote,M,80000.0
Data Engineering,United States,Senior,Full-time,Remote,M,145000.0
Data Engineering,United States,Senior,Full-time,Remote,M,115000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,202000.0
Data Science and Research,Canada,Mid-level,Full-time,Remote,S,96313.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,250000.0
Data Analysis,Portugal,Mid-level,Full-time,Remote,M,48585.0
Data Analysis,Portugal,Mid-level,Full-time,Remote,M,43187.0
Data Science and Research,United States,Senior,Full-time,Remote,M,204000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,127500.0
Data Analysis,United States,Senior,Full-time,In-person,M,145500.0
Data Analysis,United States,Senior,Full-time,In-person,M,108000.0
Data Engineering,United States,Senior,Full-time,Remote,M,206000.0
Data Engineering,United States,Senior,Full-time,Remote,M,175100.0
Data Analysis,United States,Senior,Full-time,Remote,M,122500.0
Data Analysis,United States,Senior,Full-time,Remote,M,82500.0
Data Analysis,United States,Senior,Full-time,In-person,M,95000.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,130000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,217000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,192000.0
Data Management and Strategy,United States,Senior,Full-time,In-person,M,90000.0
Data Management and Strategy,United States,Senior,Full-time,In-person,M,60000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,350000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,168000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,234900.0
Data Science and Research,United States,Senior,Full-time,In-person,M,113500.0
Data Engineering,United States,Senior,Full-time,In-person,M,385000.0
Data Engineering,United States,Senior,Full-time,In-person,M,245000.0
Data Engineering,United States,Senior,Full-time,In-person,M,255000.0
BI and Visualization,United States,Senior,Full-time,In-person,M,170200.0
BI and Visualization,United States,Senior,Full-time,In-person,M,83900.0
Data Engineering,United States,Senior,Full-time,In-person,M,202500.0
Data Engineering,United States,Senior,Full-time,In-person,M,177500.0
Data Engineering,United States,Senior,Full-time,In-person,M,150000.0
Data Architecture and Modeling,United States,Senior,Full-time,Remote,L,155000.0
Data Architecture and Modeling,United States,Senior,Full-time,Remote,L,130000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,240000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,170200.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,83900.0
Data Science and Research,United States,Senior,Full-time,In-person,M,300000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,150000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,300000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,150000.0
Data Engineering,United States,Senior,Full-time,In-person,M,213600.0
Data Engineering,United States,Senior,Full-time,In-person,M,103200.0
Data Science and Research,Canada,Senior,Full-time,Remote,M,230000.0
Data Science and Research,Canada,Senior,Full-time,Remote,M,153000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,127500.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,250000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,385000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,310000.0
Data Analysis,United States,Senior,Full-time,Remote,M,88000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,158000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,108000.0
Data Engineering,United States,Senior,Full-time,In-person,M,310000.0
Data Engineering,United Kingdom,Senior,Full-time,In-person,M,129192.0
Data Engineering,United Kingdom,Senior,Full-time,In-person,M,98432.0
Machine Learning and AI,United Kingdom,Mid-level,Full-time,In-person,M,369120.0
Machine Learning and AI,United Kingdom,Mid-level,Full-time,In-person,M,40680.0
Data Architecture and Modeling,United States,Senior,Full-time,Remote,M,306000.0
Data Architecture and Modeling,United States,Senior,Full-time,Remote,M,204000.0
Machine Learning and AI,Netherlands,Mid-level,Full-time,In-person,M,75577.0
Data Engineering,India,Entry-level,Full-time,Hybrid,M,18000.0
Data Analysis,United Kingdom,Mid-level,Full-time,In-person,M,369120.0
Leadership and Management,United States,Executive,Full-time,Remote,M,270000.0
Leadership and Management,United States,Executive,Full-time,Remote,M,200000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,204500.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,142200.0
Data Analysis,United Kingdom,Mid-level,Full-time,In-person,M,92280.0
Data Engineering,United States,Senior,Full-time,In-person,M,188600.0
Data Engineering,United States,Senior,Full-time,In-person,M,111550.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,360000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,240000.0
Data Engineering,United States,Senior,Full-time,In-person,M,129100.0
Data Engineering,United States,Senior,Full-time,In-person,M,111400.0
Data Analysis,United States,Senior,Full-time,Remote,M,135000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,242921.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,170045.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,175000.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,90000.0
Data Science and Research,United States,Entry-level,Full-time,In-person,M,156450.0
Data Science and Research,United States,Entry-level,Full-time,In-person,M,119200.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,154800.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,76300.0
Data Science and Research,United States,Senior,Full-time,In-person,M,178600.0
Data Science and Research,United States,Senior,Full-time,In-person,M,88600.0
Data Science and Research,United States,Senior,Full-time,Remote,M,207345.0
Data Science and Research,United States,Senior,Full-time,Remote,M,180300.0
Leadership and Management,United States,Senior,Full-time,In-person,M,205000.0
Leadership and Management,United States,Senior,Full-time,In-person,M,167500.0
Data Science and Research,United States,Senior,Full-time,Remote,M,228045.0
Data Science and Research,United States,Senior,Full-time,Remote,M,198300.0
Data Engineering,United States,Senior,Full-time,Remote,M,140000.0
BI and Visualization,United States,Mid-level,Full-time,In-person,M,100000.0
Data Science and Research,Latvia,Mid-level,Full-time,In-person,M,78125.0
Data Science and Research,Latvia,Mid-level,Full-time,In-person,M,40423.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,140000.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,100000.0
Leadership and Management,United States,Mid-level,Full-time,In-person,M,125000.0
Leadership and Management,United States,Mid-level,Full-time,In-person,M,120000.0
BI and Visualization,United States,Senior,Full-time,In-person,M,127000.0
BI and Visualization,United States,Senior,Full-time,In-person,M,99000.0
Data Engineering,United States,Mid-level,Full-time,Remote,M,120000.0
BI and Visualization,United States,Senior,Full-time,Remote,M,194500.0
BI and Visualization,United States,Senior,Full-time,Remote,M,132320.0
Data Analysis,United States,Senior,Full-time,In-person,M,223602.0
Data Analysis,United States,Senior,Full-time,In-person,M,143520.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,180000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,140000.0
Data Engineering,United Kingdom,Senior,Full-time,Remote,M,121809.0
Data Engineering,United Kingdom,Senior,Full-time,Remote,M,83667.0
Data Engineering,United States,Mid-level,Full-time,Remote,M,140000.0
Data Engineering,United States,Senior,Full-time,In-person,M,154000.0
Data Engineering,United States,Senior,Full-time,In-person,M,103000.0
Data Analysis,United States,Senior,Full-time,Remote,M,90000.0
Leadership and Management,United States,Executive,Full-time,In-person,M,140000.0
Leadership and Management,United States,Executive,Full-time,In-person,M,100000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,296100.0
Data Science and Research,United States,Senior,Full-time,In-person,M,144500.0
Data Analysis,United States,Senior,Full-time,In-person,M,118600.0
Data Analysis,United States,Senior,Full-time,In-person,M,96800.0
Data Science and Research,United States,Entry-level,Full-time,Remote,M,100000.0
Machine Learning and AI,Italy,Mid-level,Full-time,Remote,M,48585.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,142000.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,128000.0
Data Engineering,United States,Senior,Full-time,In-person,M,99500.0
Data Engineering,United States,Senior,Full-time,In-person,M,53300.0
Data Engineering,United States,Senior,Full-time,In-person,M,165000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,172000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,125000.0
Data Engineering,United States,Senior,Full-time,In-person,M,250000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,245000.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,234900.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,68400.0
Data Science and Research,United States,Senior,Full-time,In-person,M,139000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,172000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,125000.0
Data Analysis,United States,Senior,Full-time,In-person,M,139600.0
Data Analysis,United States,Senior,Full-time,In-person,M,85700.0
Data Engineering,Mauritius,Entry-level,Full-time,In-person,S,109272.7
Data Engineering,United States,Senior,Full-time,In-person,M,143000.0
Data Engineering,United States,Senior,Full-time,In-person,M,95000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,330000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,188000.0
Data Science and Research,Canada,Senior,Full-time,Remote,M,238000.0
Data Science and Research,Canada,Senior,Full-time,Remote,M,156000.0
Data Analysis,United States,Senior,Full-time,Remote,M,145000.0
Data Analysis,United States,Senior,Full-time,Remote,M,106000.0
Data Science and Research,United Kingdom,Senior,Full-time,Remote,M,172256.0
Data Science and Research,United Kingdom,Senior,Full-time,Remote,M,123040.0
Data Engineering,United States,Senior,Full-time,In-person,M,269100.0
Data Engineering,United States,Senior,Full-time,In-person,M,131300.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,220000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,150000.0
Data Engineering,United Kingdom,Senior,Full-time,In-person,M,73824.0
Data Engineering,United Kingdom,Senior,Full-time,In-person,M,61520.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,252990.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,162170.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,260000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,235000.0
Leadership and Management,United States,Senior,Full-time,In-person,M,190000.0
Leadership and Management,United States,Senior,Full-time,In-person,M,145000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,212800.0
Data Science and Research,United States,Senior,Full-time,Remote,M,111600.0
Data Analysis,United States,Senior,Full-time,Remote,M,130000.0
BI and Visualization,United States,Senior,Full-time,In-person,M,194521.0
BI and Visualization,United States,Senior,Full-time,In-person,M,176838.0
Leadership and Management,United States,Executive,Full-time,In-person,M,200000.0
Leadership and Management,United States,Executive,Full-time,In-person,M,170000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,191765.0
Data Science and Research,United States,Senior,Full-time,In-person,M,134236.0
Data Science and Research,United States,Senior,Full-time,In-person,M,198800.0
Data Science and Research,United States,Senior,Full-time,In-person,M,90700.0
BI and Visualization,United States,Mid-level,Full-time,In-person,M,154800.0
BI and Visualization,United States,Mid-level,Full-time,In-person,M,76300.0
Leadership and Management,United States,Mid-level,Full-time,Remote,M,130000.0
Leadership and Management,United States,Mid-level,Full-time,Remote,M,115000.0
Data Analysis,Germany,Mid-level,Full-time,Hybrid,M,42107.0
Machine Learning and AI,United States,Mid-level,Full-time,In-person,M,200000.0
Data Architecture and Modeling,United States,Senior,Full-time,Remote,M,155000.0
Leadership and Management,United States,Mid-level,Full-time,In-person,M,115500.0
Leadership and Management,United States,Mid-level,Full-time,In-person,M,73500.0
Data Science and Research,United States,Senior,Full-time,In-person,M,179000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,109000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,221000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,180000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,233300.0
Data Science and Research,United States,Senior,Full-time,In-person,M,155500.0
Data Science and Research,United States,Senior,Full-time,In-person,M,306000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,180000.0
Data Science and Research,United States,Senior,Full-time,In-person,L,212800.0
Data Science and Research,United States,Senior,Full-time,In-person,L,115100.0
Data Analysis,United States,Senior,Full-time,Remote,M,117500.0
Data Analysis,United States,Senior,Full-time,Remote,M,86720.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,150000.0
Data Analysis,United States,Executive,Full-time,Remote,M,90000.0
Data Analysis,United States,Executive,Full-time,Remote,M,70000.0
Data Science and Research,United States,Senior,Full-time,Remote,L,212800.0
Data Science and Research,United States,Senior,Full-time,Remote,L,111600.0
BI and Visualization,United States,Senior,Full-time,Remote,M,135000.0
BI and Visualization,United States,Senior,Full-time,Remote,M,110000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,175000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,208450.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,151600.0
Data Science and Research,United States,Senior,Full-time,In-person,M,324000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,159000.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,155000.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,135000.0
Data Engineering,United States,Senior,Full-time,In-person,M,223250.0
Data Engineering,United States,Senior,Full-time,In-person,M,156275.0
Data Engineering,United States,Senior,Full-time,In-person,M,220000.0
Leadership and Management,United States,Senior,Full-time,Remote,M,245000.0
Leadership and Management,United States,Senior,Full-time,Remote,M,185000.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,67500.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,46500.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,270000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,232200.0
Data Engineering,Poland,Mid-level,Full-time,Remote,L,43187.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,78000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,370000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,178200.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,115000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,204000.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,143000.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,95000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,240000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,156400.0
Data Analysis,Canada,Senior,Full-time,In-person,M,168000.0
Data Analysis,Canada,Senior,Full-time,In-person,M,112000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,253430.0
Data Science and Research,United States,Senior,Full-time,In-person,M,212780.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,265800.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,165500.0
Data Engineering,United States,Senior,Full-time,Remote,M,193000.0
Data Engineering,United States,Senior,Full-time,Remote,M,134000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,180000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,150000.0
Leadership and Management,United States,Mid-level,Full-time,Remote,M,120681.0
Leadership and Management,United States,Mid-level,Full-time,Remote,M,72409.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,180000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,139750.0
Data Engineering,United States,Senior,Full-time,Remote,M,254000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,260000.0
