job_category,employee_residence,experience_level,employment_type,work_setting,company_size,salary_in_usd_2023
Data Science and Research,United States,Senior,Full-time,In-person,M,130000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,117000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,160000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,140000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,166000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,73000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,185900.0
Data Science and Research,United States,Senior,Full-time,Remote,M,129300.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,130000.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,104000.0
Data Engineering,United States,Senior,Full-time,Remote,M,143000.0
Data Engineering,United States,Senior,Full-time,Remote,M,116000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,220000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,180000.0
Data Engineering,United States,Senior,Full-time,In-person,M,215000.0
Data Engineering,United States,Senior,Full-time,In-person,M,200000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,253000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,131000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,220000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,176000.0
Data Quality and Operations,United Kingdom,Entry-level,Full-time,Remote,M,49216.0
Data Quality and Operations,United Kingdom,Entry-level,Full-time,Remote,M,36912.0
Data Science and Research,United States,Senior,Full-time,In-person,M,210000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,147000.0
Leadership and Management,United States,Mid-level,Full-time,In-person,M,186000.0
Leadership and Management,United States,Mid-level,Full-time,In-person,M,161000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,205000.0
Data Engineering,Canada,Mid-level,Full-time,Remote,M,220000.0
Data Engineering,Canada,Mid-level,Full-time,Remote,M,190000.0
Data Analysis,United States,Senior,Full-time,Remote,M,137000.0
Data Analysis,United States,Senior,Full-time,Remote,M,110000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,172000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,146000.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,148000.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,99000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,150000.0
Data Analysis,United States,Entry-level,Full-time,In-person,M,105000.0
Data Engineering,United States,Senior,Full-time,In-person,M,99000.0
Data Engineering,United States,Senior,Full-time,In-person,M,52500.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,180514.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,108308.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,210000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,147000.0
Data Engineering,United States,Senior,Full-time,In-person,M,290300.0
Data Engineering,United States,Senior,Full-time,In-person,M,196685.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,220000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,176000.0
Machine Learning and AI,United States,Mid-level,Full-time,In-person,M,175000.0
Machine Learning and AI,United States,Mid-level,Full-time,In-person,M,130000.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,185000.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,150000.0
Data Engineering,United States,Senior,Full-time,In-person,M,145000.0
Data Engineering,United States,Senior,Full-time,In-person,M,115000.0
Machine Learning and AI,United States,Entry-level,Full-time,In-person,M,133000.0
Machine Learning and AI,United States,Entry-level,Full-time,In-person,M,58300.0
Leadership and Management,United States,Senior,Full-time,In-person,M,115000.0
Leadership and Management,United States,Senior,Full-time,In-person,M,95000.0
Data Engineering,United Kingdom,Mid-level,Full-time,In-person,M,110244.0
Data Engineering,United Kingdom,Mid-level,Full-time,In-person,M,39372.0
Data Science and Research,Spain,Entry-level,Full-time,In-person,M,43187.0
Data Science and Research,Spain,Entry-level,Full-time,In-person,M,31310.0
Data Analysis,United Kingdom,Entry-level,Full-time,In-person,M,92280.0
Data Analysis,United Kingdom,Entry-level,Full-time,In-person,M,67672.0
Data Science and Research,Ireland,Senior,Full-time,Hybrid,L,75577.0
Machine Learning and AI,Canada,Senior,Full-time,Remote,M,303387.0
Machine Learning and AI,Canada,Senior,Full-time,Remote,M,100017.0
Data Engineering,United States,Senior,Full-time,In-person,M,230300.0
Data Engineering,United States,Senior,Full-time,In-person,M,140000.0
Data Engineering,South Africa,Senior,Full-time,In-person,M,124935.0
Data Engineering,South Africa,Senior,Full-time,In-person,M,76050.0
Data Science and Research,United States,Senior,Full-time,In-person,M,224800.0
Data Science and Research,United States,Senior,Full-time,In-person,M,131100.0
Data Science and Research,United States,Senior,Full-time,In-person,M,258000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,171000.0
Data Engineering,United States,Senior,Full-time,In-person,M,196000.0
Data Engineering,United States,Senior,Full-time,In-person,M,121000.0
Data Engineering,United States,Senior,Full-time,In-person,M,195800.0
Data Engineering,United States,Senior,Full-time,In-person,M,171500.0
Data Architecture and Modeling,United States,Mid-level,Full-time,In-person,M,166000.0
Data Architecture and Modeling,United States,Mid-level,Full-time,In-person,M,73100.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,220000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,160000.0
Data Science and Research,United States,Entry-level,Full-time,In-person,M,85000.0
Data Science and Research,United States,Entry-level,Full-time,In-person,M,65000.0
Machine Learning and AI,United States,Mid-level,Full-time,In-person,M,220000.0
Machine Learning and AI,United States,Mid-level,Full-time,In-person,M,100000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,185000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,152000.0
Data Science and Research,Spain,Senior,Full-time,In-person,M,48585.0
Data Science and Research,Spain,Senior,Full-time,In-person,M,38868.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,220000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,100000.0
Data Analysis,Poland,Senior,Full-time,Remote,M,110000.0
Data Analysis,Poland,Senior,Full-time,Remote,M,80000.0
Data Analysis,United Kingdom,Senior,Full-time,Remote,S,36912.0
Data Science and Research,United States,Senior,Full-time,In-person,M,150200.0
Data Science and Research,United States,Senior,Full-time,In-person,M,71000.0
Data Engineering,United States,Senior,Full-time,In-person,M,167200.0
Data Engineering,United States,Senior,Full-time,In-person,M,133000.0
Data Engineering,United States,Senior,Full-time,In-person,M,58400.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,135000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,110000.0
Leadership and Management,United Kingdom,Mid-level,Full-time,In-person,M,104584.0
Leadership and Management,United Kingdom,Mid-level,Full-time,In-person,M,73824.0
Data Science and Research,United States,Senior,Full-time,In-person,M,187415.0
Data Science and Research,United States,Senior,Full-time,In-person,M,114080.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,166000.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,73100.0
Machine Learning and AI,Canada,Senior,Full-time,In-person,M,306400.0
Machine Learning and AI,Canada,Senior,Full-time,In-person,M,168700.0
Data Analysis,United Kingdom,Entry-level,Full-time,In-person,M,32974.0
Data Analysis,United States,Senior,Full-time,Remote,M,165000.0
Data Analysis,United States,Senior,Full-time,Remote,M,140000.0
Leadership and Management,United States,Mid-level,Full-time,Remote,M,150000.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,167000.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,121000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,190200.0
Data Science and Research,United States,Senior,Full-time,In-person,M,95100.0
Data Analysis,United States,Entry-level,Full-time,In-person,M,133000.0
Data Analysis,United States,Entry-level,Full-time,In-person,M,58400.0
Data Engineering,United States,Mid-level,Full-time,Remote,M,90000.0
Data Engineering,United States,Mid-level,Full-time,Remote,M,70000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,73100.0
Data Engineering,United States,Senior,Full-time,In-person,M,135000.0
Data Engineering,United States,Senior,Full-time,In-person,M,100000.0
Data Engineering,United Kingdom,Senior,Full-time,Remote,M,180514.0
Data Engineering,United Kingdom,Senior,Full-time,Remote,M,108308.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,294000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,192000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,266000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,167000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,200000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,150000.0
Data Analysis,United States,Entry-level,Full-time,Remote,M,163800.0
Data Analysis,United States,Entry-level,Full-time,Remote,M,88200.0
Data Analysis,United States,Senior,Full-time,In-person,M,180400.0
Data Analysis,United States,Senior,Full-time,In-person,M,138800.0
Data Analysis,United Kingdom,Mid-level,Full-time,In-person,M,67672.0
Data Analysis,United Kingdom,Mid-level,Full-time,In-person,M,55368.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,319000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,206000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,215000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,142000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,266000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,167000.0
Data Analysis,United States,Senior,Full-time,In-person,M,140130.0
Data Analysis,United States,Senior,Full-time,In-person,M,84870.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,178300.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,105400.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,215000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,142000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,240000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,210000.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,150000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,116000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,90000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,145000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,128000.0
Data Engineering,United States,Senior,Full-time,Remote,M,154000.0
Data Engineering,United States,Senior,Full-time,Remote,M,126000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,240000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,157250.0
Data Engineering,United States,Executive,Full-time,Remote,M,219650.0
Data Engineering,United States,Executive,Full-time,Remote,M,136000.0
Machine Learning and AI,United States,Mid-level,Full-time,Remote,M,180000.0
Machine Learning and AI,United States,Mid-level,Full-time,Remote,M,125000.0
Data Science and Research,United States,Senior,Full-time,In-person,L,247600.0
Data Science and Research,United States,Senior,Full-time,In-person,L,127300.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,60000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,55000.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,250000.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,125000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,190000.0
Machine Learning and AI,United States,Senior,Full-time,Remote,M,170000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,202600.0
Data Science and Research,United States,Senior,Full-time,Remote,M,168800.0
Data Engineering,United States,Mid-level,Full-time,Remote,M,132000.0
Data Engineering,United States,Mid-level,Full-time,Remote,M,111000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,203000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,127000.0
BI and Visualization,United States,Mid-level,Full-time,Remote,M,125009.0
