,MSE,MAE,R²,CV Score
Linear Regression,4.8963217452317835e+20,1789985231.6422253,-2.600080843422077e+22,-1.1347942297452972e+23
Decision Tree,0.012259173686944678,0.0859068121236129,0.349004327776259,0.2826690775260231
Random Forest,0.011772814481020216,0.08414608175323236,0.37483133262081714,0.3156198631692908
Gradient Boosting,0.011809659680518914,0.08380253262094332,0.37287475169388107,0.34238820543931886
XGBoost,0.01163304705639989,0.08313040221944229,0.3822533653670036,0.32692619314140314
